,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
576,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:15:46:46,+000:15:46:47,BAD ACSCL SOLUTION      
577,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:15:46:46,+000:15:46:47,BAD ACSCL SOLUTION      
578,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:15:46:47,+000:15:46:48,BAD ACSCL SOLUTION      
579,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:15:46:47,+000:15:46:48,BAD ACSCL SOLUTION      
580,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:15:53:02,+000:15:53:03,BAD ACSCL SOLUTION      
581,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:15:53:02,+000:15:53:03,BAD ACSCL SOLUTION      
582,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:15:53:03,+000:15:53:04,BAD ACSCL SOLUTION      
583,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:15:53:03,+000:15:53:04,BAD ACSCL SOLUTION      
584,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:15:53:05,+000:15:53:06,BAD ACSCL SOLUTION      
585,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:15:53:05,+000:15:53:06,BAD ACSCL SOLUTION      
586,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:15:53:06,+000:15:53:07,BAD ACSCL SOLUTION      
587,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:16:02:03,+000:16:02:04,BAD ACSCL SOLUTION      
588,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:16:02:04,+000:16:02:04,BAD ACSCL SOLUTION      
589,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:16:02:04,+000:16:02:04,BAD ACSCL SOLUTION      
590,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:16:02:04,+000:16:02:05,BAD ACSCL SOLUTION      
591,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:16:02:04,+000:16:02:05,BAD ACSCL SOLUTION      
592,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:16:02:05,+000:16:02:06,BAD ACSCL SOLUTION      
593,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:16:02:05,+000:16:02:06,BAD ACSCL SOLUTION      
594,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:16:02:07,+000:16:02:08,BAD ACSCL SOLUTION      
595,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:16:02:07,+000:16:02:08,BAD ACSCL SOLUTION      
