OJ287,3.7
3C84,10.7
3C279,8.0
3C273,7.1
1055+018,3.6
0510+180,2.1
J1733-1304,1.5
J0006-0623,1.4
J0132-1654,0.3
J1325-4301,3.3
NGC1052,0.4
J1924-2914,3.2
CYGX-3,2.5
CENA,8.1
M87,1.2
SGRA,2.4
